Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
34	Cell14	X.1.1.1.1.1.2.2.1.1	0.0870215968117847	2.45114174267892e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0846086720162765	0.0554561812975077	0.109505007092452	0.0852310526707353	0.0344919468675463	0.121954333512802		1.05835723215597	0.754961463769302	1.38692004797389	1.04341233476856	0.641327140192863	1.69998931040997
35	Cell15	X.1.1.1.2.1.1.1.2.2.2.1	0.0775735391952778	2.36241262982176e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0778440651378319	0.0582477488209908	0.0975822506999753	0.0774708648477163	0.0492043177599875	0.112743123387976		1.09510788855793	0.797565208186916	1.39087950339115	1.08175121482793	0.694121635435923	1.70305580967487
36	Cell16	X.1.1.2.2.1	0.162300465979283	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.161679064017036	0.125447147910764	0.195499541385353	0.161227274790262	0.0765017069795658	0.235452570616537		0.721448469661253	0.559275906122903	0.905041517695747	0.721655967950579	0.499739439292354	1.01923144719812
37	Cell17	X.1.1.1.1.1.1.2.2.2.2.1.1	0.0854095693868925	2.44005060357177e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0871634494935657	0.0668317809165509	0.108760074949452	0.0862620132325302	0.05863368986553	0.136264026971849		1.12704673222097	0.830608126595529	1.39803984890105	1.11882414007802	0.731400137178879	1.82703644385142
38	Cell18	X.1.1.1.1.1.2.1.2.1	0.103003954975615	2.48441516000035e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106409605451864	0.0758641642795234	0.139482551196418	0.105461137907072	0.0591036273377935	0.16176386934351		0.951150835440994	0.706955149853568	1.24952003378759	0.939205265706956	0.582843934480461	1.50991443739638
39	Cell19	X.1.1.1.2.1.1.2.1	0.120502768435905	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.12052161958804	0.0957754539425201	0.145366747223775	0.120088795506389	0.0745324527092982	0.15763185190733		0.807344557375038	0.610333299424834	0.998203707208488	0.803973851393429	0.561317002393214	1.25219220427371
40	Cell2	X.1.1.1.2.2.2.1	0.12194921698526	2.47886959044678e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.131597448383872	0.0934235556559354	0.171640923683351	0.130866549403125	0.080614668738457	0.181590647436253		0.960763151355115	0.710332903463543	1.28306295645293	0.944962847741969	0.641261761495956	1.60606123802539
41	Cell20	X.1.1.1.1.2.2.1.2.1.1.1	0.0900174710003251	2.46777845133963e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.08993256788129	0.0663014312411948	0.111956728552215	0.0895994188698203	0.0533665056230069	0.122656391020743		1.06382797939529	0.796684203097644	1.38937170524635	1.04195816604796	0.690661493123802	1.64018818737241
42	Cell21	X.1.1.2.1.2.2.1	0.103394934514377	2.46777845133963e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106300756347403	0.0813248948399067	0.139334210242943	0.104673400506479	0.0686747659604418	0.162658066831462		0.963571927362724	0.712025190458744	1.24810777810456	0.950700264001436	0.621893472810007	1.46851505948605
43	Cell22	X.1.1.1.2.1.1.2.2	0.120502768435905	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.120552385864647	0.0957754539425201	0.145366747223775	0.120129350268303	0.0745324527092982	0.168066323292319		1.03618635941938	0.806936904601332	1.31259228990309	1.02087951749132	0.673404783619701	1.55519223559052
