Geneid,SRR6710302,SRR6710303,SRR6710304,SRR6710305,SRR6710306,SRR6710307,SRR6710308,SRR6710309,SRR6710310,SRR6710311,SRR6710312,SRR6710313,SRR6710314,SRR6710315,SRR6710316,SRR6710317,SRR6710318,SRR6710319,SRR6710320,SRR6710321,SRR6710322,SRR6710323,SRR6710324,SRR6710325,SRR6710326,SRR6710327,SRR6710328,SRR6710329,SRR6710330,SRR6710331,SRR6710332,SRR6710333,SRR6710334,SRR6710335,SRR6710336,SRR6710337,SRR6710338,SRR6710339,SRR6710340,SRR6710341,SRR6710342,SRR6710343,SRR6710344,SRR6710345,SRR6710346,SRR6710347,SRR6710348,SRR6710349,SRR6710350,SRR6710351,SRR6710352,SRR6710353,SRR6710354,SRR6710355,SRR6710356,SRR6710357,SRR6710358,SRR6710359,SRR6710360,SRR6710361,SRR6710362,SRR6710363,SRR6710364,SRR6710365,SRR6710366,SRR6710367,SRR6710368,SRR6710369,SRR6710370,SRR6710371,SRR6710372,SRR6710373,SRR6710374,SRR6710375,SRR6710376,SRR6710377,SRR6710378,SRR6710379,SRR6710380,SRR6710381,SRR6710382,SRR6710383,SRR6710384,SRR6710385,SRR6710386,SRR6710387,SRR6710388,SRR6710389,SRR6710390,SRR6710391,SRR6710392,SRR6710393,SRR6710394,SRR6710395,SRR6710396,SRR6710397,SRR6710398,SRR6710399,SRR6710400,SRR6710401,SRR6710402,SRR6710403,SRR6710404,SRR6710405,SRR6710406,SRR6710407,SRR6710408,SRR6710409,SRR6710410,SRR6710411,SRR6710412,SRR6710413,SRR6710414,SRR6710415,SRR6710416,SRR6710417,SRR6710418,SRR6710419,SRR6710420,SRR6710421,SRR6710422,SRR6710423,SRR6710424,SRR6710425,SRR6710426,SRR6710427,SRR6710428
ENSG00000225630.1,3160,6435,70,70,2512,2190,2672,17580,5801,2776,1746,3934,544,3299,2849,3992,326,4958,2175,1244,3242,3484,2067,2632,885,7123,2823,604,1310,2960,1132,2266,1922,1406,302,3634,11794,7566,1255,618,930,2581,3941,8618,12770,4741,3200,1064,2547,324,3175,1644,6613,974,1932,494,3558,2256,1180,2414,3454,3754,1672,1344,266,8340,7405,8692,5590,5950,11306,8626,8923,135,10389,3928,8475,2314,10138,4034,11151,4910,5889,2716,10326,11146,8472,3766,9307,8329,9235,55973,8451,14310,4712,10964,2347,9143,13865,921,6036,10673,626,2880,12294,7233,11759,5289,8680,5755,18363,6556,13,7925,6134,7038,10364,5214,8227,6642,20429,12206,10211,8023,12222,9434,30062
ENSG00000276171.1,448,0,37,93,0,473,124,0,184,97,42,277,12,24,155,368,91,0,141,63,182,227,129,258,58,832,241,34,53,0,114,38,2,155,70,132,0,374,2,0,237,37,349,957,0,578,163,342,369,141,19,256,0,227,138,87,8,91,0,23,44,0,40,96,0,373,102,284,442,325,694,260,483,0,697,11,522,245,634,95,296,376,431,96,642,764,660,129,999,237,530,357,724,522,233,87,28,50,851,0,429,394,0,87,494,379,706,269,262,350,1088,443,0,433,300,340,0,115,551,179,420,456,624,323,560,567,260
ENSG00000237973.1,6881,2687,2422,1797,1848,20924,4221,2491,7245,1697,3994,12306,2107,1320,3024,8953,4010,386,5002,5673,3321,3003,8224,8509,2255,27042,11326,2034,2770,41,4444,3043,1396,5899,3771,3669,2332,17029,37,1028,5138,2078,13118,26213,2156,18369,7193,2451,22441,7069,4251,10414,617,3419,7803,2309,2992,5753,886,4364,7677,2,5650,1944,7,13927,3886,14043,11917,8576,17141,9654,13025,724,10957,1081,9679,4669,16438,5020,15118,5730,11000,3890,14422,20803,15312,4889,15112,3483,11386,49029,19287,16934,9729,7241,1770,3165,19765,204,13014,15808,522,1455,10708,9279,14867,9167,15898,8972,26177,10297,12,16460,9417,14146,595,6465,24171,5818,28714,10071,10757,13440,11474,18611,43146
ENSG00000229344.1,204,462,80,50,34,114,42,642,174,117,62,120,46,78,103,175,12,122,90,30,95,114,122,103,152,275,115,118,18,81,74,96,206,188,36,65,470,210,48,58,72,90,176,526,394,334,98,124,285,64,111,218,164,134,38,49,197,124,98,94,142,110,86,87,0,295,374,301,334,140,433,343,256,15,241,156,323,76,363,392,302,186,340,168,375,349,317,130,307,230,270,1530,419,549,230,434,236,511,516,103,444,341,66,127,337,269,309,232,417,210,491,258,0,284,254,355,371,336,347,369,844,484,358,356,430,330,1433
ENSG00000240409.1,46,46,3,6,8,42,5,116,27,16,5,29,17,24,20,33,8,53,1,7,15,16,26,27,18,22,21,8,4,15,19,22,14,6,17,19,101,23,1,8,20,11,15,88,29,62,14,22,29,18,17,30,35,4,6,4,34,25,8,10,25,1,27,15,0,59,53,108,41,25,110,109,63,7,67,32,42,40,76,82,150,66,70,32,88,83,82,47,75,90,64,500,79,119,72,58,37,82,137,32,117,84,7,27,78,83,56,37,78,68,147,41,0,63,59,107,99,73,87,45,121,79,153,115,91,124,106
ENSG00000248527.1,6123,9496,660,2424,1752,8477,1246,24121,7843,2569,4101,7249,4015,4474,3862,5263,952,9829,1961,2045,4402,5981,6588,5574,6869,6486,6404,3300,1409,3681,3564,2828,3840,3736,3576,5415,27465,6765,719,2570,4413,3119,4689,17735,10658,9392,3124,4479,11993,2609,5171,7691,18259,3669,2257,1193,8466,8469,3204,5260,5953,638,3665,2435,10,9936,7304,13338,7272,4013,15137,15952,6846,1040,9421,5007,7009,3440,11955,9138,21169,6846,7955,4995,13182,9124,7552,5731,7391,6046,5899,78622,11650,18109,6311,10501,5706,11277,18605,2065,14359,13582,1244,3652,9845,12667,9626,6734,13411,9922,17959,7230,6,10315,8649,13723,9573,13448,11590,7803,26747,11467,13480,11910,11777,12999,53043
ENSG00000198744.5,261,334,79,92,22,463,85,765,367,73,77,249,180,371,113,306,44,204,165,97,335,273,238,220,186,547,227,40,82,66,114,55,134,264,116,134,812,474,16,80,166,147,294,890,400,546,157,88,638,188,215,360,981,192,81,139,264,244,80,266,183,45,189,76,2,281,343,386,344,203,741,497,505,17,328,149,348,90,567,431,324,178,445,162,501,561,432,121,505,238,314,1959,639,858,308,433,95,484,880,60,548,504,99,129,359,426,517,273,617,417,793,348,0,452,419,531,360,401,412,289,1315,595,468,489,574,514,2484
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
