Sample	posterior	ESS(posterior)	likelihood	prior
155000	-14164.516399701843	3.2	-14194.747214058234	30.23081435639118
160000	-14160.208590692846	3.3	-14191.663017054743	31.45442636189713
165000	-14150.386013015077	3.4	-14179.723444653016	29.337431637938842
170000	-14140.75048528689	3.5	-14172.166304589056	31.41581930216631
175000	-14157.498698573372	3.6	-14187.302567334855	29.80386876148242
180000	-14138.46137032411	3.7	-14171.005987404626	32.54461708051559
185000	-14155.375889896506	3.8	-14189.494005894003	34.118115997497426
190000	-14125.181196778693	3.9	-14156.145102300869	30.963905522176674
195000	-14123.504003225551	4.2	-14151.70478182401	28.200778598458786
200000	-14128.756737706406	4.3	-14158.66618591689	29.90944821048522
205000	-14134.75313146536	4.3	-14160.429884841835	25.676753376473542
210000	-14131.999020466617	4.4	-14157.199341842708	25.200321376091054
215000	-14115.286569264985	4.4	-14143.432565999132	28.145996734147264
220000	-14105.985379317988	4.5	-14136.46840066207	30.483021344082296
225000	-14103.419316722493	4.5	-14132.23835402103	28.819037298538145
230000	-14088.227661320396	4.5	-14117.92119174687	29.693530426473266
235000	-14100.517562972242	4.5	-14124.467651270284	23.950088298042303
240000	-14086.856110279567	4.5	-14119.089067053394	32.23295677382773
245000	-14083.790026001549	4.4	-14114.809309508788	31.019283507239248
250000	-14079.263075655052	4.3	-14110.706919853694	31.44384419864139
255000	-14081.357921055629	4.2	-14114.057901167906	32.69998011227643
260000	-14074.087862878981	4.1	-14108.354621197963	34.266758318980536
265000	-14086.166620776552	4.0	-14121.27320341304	35.106582636488696
270000	-14089.403888961982	3.9	-14117.889491622858	28.485602660875447
275000	-14087.489143611889	3.8	-14118.0191315448	30.529987932910704
280000	-14088.44598719476	3.7	-14124.397947414636	35.951960219876916
285000	-14072.256710388954	3.7	-14103.94132128384	31.68461089488738
290000	-14087.098021051268	3.6	-14119.459876543895	32.36185549262662
295000	-14087.369960472977	3.5	-14118.497314932561	31.127354459583906
300000	-14092.918875106674	3.4	-14122.618295941742	29.699420835068693
305000	-14079.456988741205	3.4	-14113.225359925173	33.768371183966686
310000	-14096.926596244892	3.3	-14127.296190782126	30.36959453723462
315000	-14083.414958958341	3.3	-14116.966659236845	33.55170027850339
320000	-14096.145537266153	3.2	-14131.209402076853	35.06386481069962
325000	-14097.083299783833	3.2	-14129.175002523238	32.09170273940523
330000	-14080.808565746229	3.2	-14112.528967224202	31.72040147797257
335000	-14087.525112438027	3.1	-14119.246482079376	31.721369641348392
340000	-14078.850179143894	3.1	-14108.895654334607	30.04547519071208
345000	-14070.384457197712	3.0	-14103.598233477263	33.213776279552086
350000	-14083.1262456245	3.0	-14114.854856821337	31.72861119683773
355000	-14084.94449044855	2.9	-14119.68277780873	34.73828736018065
360000	-14070.775720321848	2.9	-14104.092764654031	33.31704433218243
365000	-14074.91212107218	2.9	-14107.875274241222	32.963153169041135
370000	-14084.56129193606	2.9	-14115.543941388343	30.982649452284704
375000	-14078.728210399375	2.9	-14113.304877610735	34.576667211361055
380000	-14090.501306459773	2.9	-14122.252361142442	31.751054682669146
385000	-14081.374183610158	2.9	-14114.977052458718	33.602868848560746
390000	-14084.915974271466	2.9	-14117.651213509294	32.7352392378285
395000	-14086.342180445008	2.8	-14113.622989922109	27.280809477101037
400000	-14096.81769806956	2.8	-14124.751180028878	27.933481959316666
405000	-14077.672086811423	2.9	-14110.027906787804	32.35581997638193
410000	-14083.636996509818	2.9	-14114.661262404728	31.024265894909757
415000	-14085.164959994043	2.9	-14112.758945614767	27.593985620724418
420000	-14076.757130127322	2.9	-14106.288855331752	29.53172520442995
425000	-14099.438042381364	2.9	-14130.994008568801	31.555966187437434
430000	-14083.792325968876	2.9	-14117.309507344373	33.517181375495966
435000	-14081.160371290092	2.9	-14115.542431213376	34.382059923283734
440000	-14088.980867447357	2.9	-14122.369237507426	33.38837006006895
445000	-14084.66265791924	2.9	-14116.057420688521	31.39476276928229
450000	-14077.135917669586	2.9	-14107.816334755542	30.680417085956318
455000	-14064.952041125087	2.9	-14098.411507824076	33.45946669898902
460000	-14079.881675532615	2.9	-14114.204461325893	34.322785793277056
465000	-14070.033065829608	3.0	-14103.108325311932	33.075259482324704
470000	-14081.710052286475	3.0	-14113.451166143686	31.741113857212042
475000	-14092.362919593437	3.0	-14126.871858897059	34.508939303622334
480000	-14068.428622133644	3.0	-14101.61144493799	33.182822804345385
485000	-14077.90419992128	3.0	-14108.710824692902	30.806624771620786
490000	-14088.68361939619	3.1	-14118.895057478061	30.211438081870995
495000	-14079.613787947239	3.0	-14110.267982346193	30.654194398954285
500000	-14076.950627497137	3.0	-14107.657696738312	30.707069241173734
505000	-14086.603407051762	3.0	-14114.078944855859	27.475537804096444
510000	-14078.138114926054	3.1	-14106.437036250056	28.298921324002006
515000	-14084.947633114256	3.1	-14115.597676592215	30.65004347795922
520000	-14072.183766519605	3.1	-14105.315133154161	33.13136663455573
525000	-14073.725363063277	3.1	-14102.820262825324	29.094899762047856
530000	-14075.777531847449	3.2	-14105.26876303116	29.49123118371065
535000	-14086.321506516957	3.2	-14114.372852208386	28.05134569142926
540000	-14078.963848301197	3.2	-14108.91583545591	29.9519871547131
545000	-14098.910870289636	3.2	-14124.796724046804	25.885853757168046
550000	-14085.508063510848	3.2	-14118.188380093481	32.68031658263299
555000	-14080.370416485195	3.2	-14111.792796972572	31.422380487376433
560000	-14066.655857719004	3.2	-14096.78192674261	30.126069023604305
565000	-14075.711846696579	3.3	-14106.300925937858	30.58907924127994
570000	-14077.774999860803	3.3	-14106.915287940688	29.1402880798845
575000	-14083.863588612516	3.3	-14114.063168090448	30.19957947793261
580000	-14090.939869934831	3.3	-14121.259235795695	30.319365860863527
585000	-14098.70488400807	3.4	-14129.853644055616	31.148760047547015
590000	-14091.458566590312	3.4	-14123.266609617596	31.808043027283773
595000	-14081.772516552046	3.4	-14116.372103261254	34.599586709208346
600000	-14096.746140862238	3.4	-14131.410600946607	34.66446008436848
605000	-14092.535091790667	3.4	-14126.308729107885	33.77363731721798
610000	-14078.842522817673	3.5	-14112.09131930215	33.248796484476074
615000	-14078.041074154802	3.5	-14111.0104376189	32.96936346409736
620000	-14075.929550647426	3.5	-14105.883524221881	29.953973574454636
625000	-14078.860643799762	3.6	-14112.722090946067	33.8614471463041
630000	-14086.878916389627	3.6	-14117.374108445232	30.495192055605465
635000	-14087.165212243792	3.6	-14120.496160538749	33.330948294957345
640000	-14083.891741588	3.6	-14118.74059038969	34.84884880169029
645000	-14082.080284278565	3.7	-14115.349411967816	33.269127689250915
650000	-14081.931204161174	3.8	-14113.096077579017	31.164873417842735
655000	-14079.596793804576	3.8	-14108.059390208406	28.462596403829554
660000	-14069.239278424768	3.8	-14101.138186645607	31.89890822083834
665000	-14070.620495665074	3.9	-14101.712219042267	31.09172337719243
670000	-14074.645757858398	3.9	-14106.256681583314	31.610923724916972
675000	-14070.484243877514	3.9	-14105.378065242245	34.89382136473019
680000	-14086.641445879928	4.0	-14120.235177770754	33.59373189082628
685000	-14078.517739306842	4.0	-14111.177325805944	32.659586499101735
690000	-14068.918006303069	4.0	-14100.167570740732	31.24956443766246
695000	-14089.826268219585	4.2	-14121.460100182612	31.633831963026285
700000	-14076.364209697025	4.2	-14106.47604573746	30.111836040433786
705000	-14085.986670637307	4.2	-14118.137503367927	32.1508327306203
710000	-14073.593523199988	4.3	-14105.147944609696	31.554421409707718
715000	-14076.45188518094	4.3	-14103.75804737304	27.306162192098764
720000	-14080.516538781214	4.3	-14109.92397173267	29.40743295145701
725000	-14071.57047208905	4.4	-14100.498117363011	28.92764527396078
730000	-14076.228819049005	4.4	-14103.718296046283	27.489476997277688
735000	-14094.529160423328	4.4	-14122.984344636001	28.455184212673377
740000	-14077.700679678954	4.4	-14104.10633346171	26.40565378275581
745000	-14080.586637713968	4.6	-14113.22430487907	32.63766716510177
750000	-14086.37412749212	4.6	-14116.426934694557	30.052807202436806
755000	-14078.402379664924	4.6	-14108.683701361255	30.28132169633092
760000	-14065.69026590668	4.7	-14097.290500860474	31.600234953793503
765000	-14076.198521964474	4.7	-14111.551692521416	35.35317055694142
770000	-14070.314151238654	4.7	-14102.736914908006	32.42276366935248
775000	-14056.767789541102	4.8	-14091.13435498146	34.36656544035828
780000	-14084.748484853066	4.8	-14115.188121303074	30.43963645000769
785000	-14085.277149222527	4.8	-14116.489083913722	31.211934691194365
790000	-14080.927646078124	4.9	-14109.547566074798	28.61991999667442
