Geneid,SRR6710256,SRR6710257,SRR6710258,SRR6710259,SRR6710260,SRR6710261,SRR6710262,SRR6710263,SRR6710264,SRR6710265,SRR6710266,SRR6710267,SRR6710268,SRR6710269,SRR6710270,SRR6710271,SRR6710272,SRR6710273,SRR6710274,SRR6710275,SRR6710276,SRR6710277,SRR6710278,SRR6710279,SRR6710280,SRR6710281,SRR6710282,SRR6710283,SRR6710284,SRR6710285,SRR6710286,SRR6710287,SRR6710288,SRR6710289,SRR6710290,SRR6710291,SRR6710292,SRR6710293,SRR6710294,SRR6710295,SRR6710296,SRR6710297,SRR6710298,SRR6710299,SRR6710300,SRR6710301
ENSG00000158234.10,91,0,3,89,0,0,0,19,0,0,0,0,0,822,0,454,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,124,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000174715.7,0,0,0,2,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000051382.6,0,4,127,0,0,0,0,3,0,0,0,0,5,56,64,0,0,0,2072,0,0,117,141,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,54,0,0,0
ENSG00000241429.1,6,4,18,30,6,0,6,24,8,12,52,18,14,28,20,12,26,16,12,28,20,8,18,10,6,2,4,0,8,0,0,4,0,0,0,0,0,0,6,12,0,0,0,0,0,2
ENSG00000175110.9,18,2,0,0,410,0,0,4,2,0,0,4,119,191,2,0,0,661,0,0,1219,18,0,0,0,0,2,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,28,0,0
ENSG00000184432.7,4,3856,3484,4,101,0,83,505,2707,18,3,0,89,9962,24,1435,3205,97,438,2,2469,4973,5479,0,27,0,18,2,70,0,14,0,0,546,0,15,0,314,60,54,0,0,0,0,0,0
ENSG00000248932.3,0,0,0,0,447,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000114113.4,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178631.7,0,0,2,0,777,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163864.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
ENSG00000214280.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
ENSG00000158258.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216184.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000114120.9,162,298,4,55,18,0,0,224,0,2754,1440,249,0,486,2,2,0,64,2,121,0,384,442,0,2,0,1009,884,0,0,17,0,0,1624,217,0,0,2,0,0,0,24,0,0,0,4
ENSG00000155893.9,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000177311.8,172,1340,2419,8,66,54,1083,3384,414,7317,1376,1485,2063,504,3963,1393,638,1102,298,4606,173,101,30,166,32,83,1026,651,4,2,7,2,1207,116,2,2024,0,0,377,0,0,0,0,223,1842,0
ENSG00000155903.9,48,31,0,263,121,0,7,8,153,12,4,0,12,935,0,3,4,0,20,368,558,89,867,0,0,485,5,1111,212,0,300,0,265,60,12,798,0,0,5100,0,0,0,0,0,352,0
ENSG00000250170.1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249986.1,0,0,0,274,0,0,595,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241899.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000114125.11,541,8,3,43,766,0,380,0,2,126,722,0,30,407,1143,0,0,0,2,915,686,25,0,0,2,2,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,441,0,0
ENSG00000114124.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000069849.8,17,0,30,14,5,0,0,114,0,0,0,36,0,0,0,0,0,6,17,0,0,542,0,0,18,28,766,0,0,0,2,77,0,0,0,7746,0,0,0,0,0,0,0,11,0,0
ENSG00000244124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279147.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269905.2,198,0,2,958,4,0,0,58,0,42,2,0,134,0,0,0,22,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0
ENSG00000114126.15,53,0,0,0,22,0,0,19,0,49,21,0,0,0,0,0,0,0,0,0,0,204,132,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233597.3,2,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,2,0,2,0,4,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0
ENSG00000206604.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272565.1,0,0,0,0,0,0,0,0,0,224,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000175066.13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000114127.8,660,357,0,1355,617,1,32,4,0,1242,791,0,16,3,0,238,1750,394,116,2,289,210,5,14,70,134,21,2,5825,10,1127,4298,9454,630,2042,40,4,2,8758,81,1,0,0,677,5400,11
ENSG00000251804.1,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0
ENSG00000175054.12,0,0,0,0,0,0,0,0,0,89,0,2,0,0,134,8,7,0,0,0,0,0,0,0,0,0,0,1615,3,0,4,2537,0,4,0,10101,0,0,0,6175,0,0,144,0,15,2
ENSG00000120756.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
ENSG00000199319.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000240950.1,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,2,8,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000163714.15,0,923,89,16,0,15,975,134,3058,559,765,137,89,3185,4,631,1067,249,195,8,30,8,5,1679,201,38,981,23,986,0,1033,115,110,2049,1987,0,1,0,1028,288,0,0,0,97,686,8
ENSG00000268129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175040.5,2,0,0,26,0,0,0,0,0,0,20,0,0,0,0,0,0,94,12,0,0,40,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000241679.2,87,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000211483.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244171.4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181804.12,0,0,0,0,0,0,153,0,0,0,0,0,0,40,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000243759.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
ENSG00000248374.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
ENSG00000181744.6,9,0,109,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,2,0,3,0,662,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
